Date,Open,High,Low,Close
2022-08-08,7.572,7.572,7.572,7.572
2022-08-05,7.524,7.524,7.524,7.524
2022-08-04,7.399,7.399,7.399,7.399
2022-08-03,7.431,7.431,7.431,7.431
2022-08-02,7.418,7.418,7.418,7.418
2022-08-01,7.446,7.446,7.446,7.446
2022-07-29,7.547,7.547,7.547,7.547
2022-07-28,7.65,7.65,7.65,7.65
2022-07-27,7.489,7.489,7.489,7.489
2022-07-26,7.501,7.501,7.501,7.501
2022-07-25,7.514,7.514,7.514,7.514
2022-07-22,7.536,7.536,7.536,7.536
2022-07-21,7.552,7.552,7.552,7.552
2022-07-20,7.555,7.555,7.555,7.555
2022-07-19,7.548,7.548,7.548,7.548
2022-07-18,7.553,7.553,7.553,7.553
2022-07-15,7.552,7.552,7.552,7.552
2022-07-14,7.522,7.522,7.522,7.522
2022-07-13,7.475,7.475,7.475,7.475
2022-07-12,7.512,7.512,7.512,7.512
2022-07-11,7.54,7.54,7.54,7.54
2022-07-08,7.521,7.521,7.521,7.521
2022-07-07,7.457,7.457,7.457,7.457
2022-07-06,7.458,7.458,7.458,7.458
2022-07-05,7.482,7.482,7.482,7.482
2022-07-04,7.478,7.478,7.478,7.478
2022-07-01,7.5,7.5,7.5,7.5
2022-06-30,7.532,7.532,7.532,7.532
2022-06-29,7.551,7.551,7.551,7.551
2022-06-28,7.551,7.551,7.551,7.551
2022-06-27,7.51,7.51,7.51,7.51
2022-06-24,7.519,7.519,7.519,7.519
2022-06-23,7.511,7.511,7.511,7.511
2022-06-22,7.494,7.494,7.494,7.494
2022-06-21,7.577,7.577,7.577,7.577
2022-06-20,7.544,7.544,7.544,7.544
2022-06-17,7.644,7.644,7.644,7.644
2022-06-16,7.696,7.696,7.696,7.696
2022-06-15,7.682,7.682,7.682,7.682
2022-06-14,7.681,7.681,7.681,7.681
2022-06-13,7.7,7.7,7.7,7.7
2022-06-10,7.628,7.628,7.628,7.628
2022-06-09,7.592,7.592,7.592,7.592
2022-06-08,7.616,7.616,7.616,7.616
2022-06-07,7.64,7.64,7.64,7.64
2022-06-06,7.758,7.758,7.631,7.631
2022-06-03,7.627,7.627,7.627,7.627
2022-06-02,7.699,7.699,7.675,7.675
2022-06-01,7.617,7.617,7.617,7.617
2022-05-31,7.614,7.614,7.614,7.614
2022-05-30,7.582,7.582,7.582,7.582
2022-05-27,7.565,7.565,7.565,7.565
2022-05-26,7.53,7.53,7.53,7.53
2022-05-25,7.58,7.58,7.54,7.54
2022-05-24,7.603,7.603,7.559,7.559
2022-05-23,7.584,7.584,7.57,7.57
2022-05-20,7.542,7.542,7.542,7.542
2022-05-19,7.556,7.556,7.514,7.514
2022-05-18,7.516,7.516,7.516,7.516
2022-05-17,7.528,7.528,7.528,7.528
2022-05-13,7.481,7.481,7.481,7.481
2022-05-12,7.417,7.417,7.417,7.417
2022-05-11,7.44,7.44,7.44,7.44
2022-05-10,7.508,7.508,7.508,7.508
2022-05-09,7.654,7.654,7.654,7.654
2022-05-06,7.654,7.654,7.654,7.654
2022-05-05,7.578,7.578,7.578,7.578
2022-05-04,7.534,7.534,7.534,7.534
2022-05-02,7.356,7.356,7.356,7.356
2022-04-29,7.361,7.361,7.361,7.361
2022-04-28,7.363,7.363,7.363,7.363
2022-04-27,7.317,7.317,7.317,7.317
2022-04-26,7.327,7.327,7.327,7.327
2022-04-25,7.308,7.308,7.308,7.308
2022-04-22,7.4,7.4,7.38,7.38
2022-04-21,7.332,7.332,7.332,7.332
2022-04-20,7.322,7.322,7.322,7.322
2022-04-19,7.355,7.355,7.355,7.355
2022-04-18,7.374,7.374,7.374,7.374
2022-04-13,7.416,7.416,7.416,7.416
2022-04-12,7.354,7.354,7.354,7.354
2022-04-11,7.337,7.337,7.337,7.337
2022-04-08,7.307,7.307,7.307,7.307
2022-04-07,7.224,7.224,7.224,7.224
2022-04-06,7.226,7.226,7.226,7.226
2022-04-05,7.227,7.227,7.227,7.227
2022-04-04,7.231,7.231,7.231,7.231
2022-03-31,7.187,7.187,7.187,7.187
2022-03-30,7.186,7.213,7.15,7.15
2022-03-29,7.229,7.229,7.204,7.204
2022-03-28,7.235,7.245,7.226,7.228
2022-03-25,7.253,7.253,7.201,7.201
2022-03-24,7.253,7.253,7.208,7.208
2022-03-23,7.239,7.253,7.208,7.208
2022-03-22,7.271,7.271,7.235,7.242
2022-03-21,7.23,7.253,7.208,7.208
2022-03-17,7.262,7.262,7.199,7.201
2022-03-16,7.235,7.257,7.217,7.217
2022-03-15,7.226,7.266,7.212,7.212
2022-03-14,7.235,7.235,7.221,7.221
2022-03-11,7.235,7.235,7.224,7.224
2022-03-10,7.226,7.226,7.21,7.21
2022-03-09,7.234,7.251,7.226,7.233
2022-03-08,7.236,7.261,7.207,7.207
2022-03-07,7.192,7.192,7.192,7.192
2022-03-04,7.121,7.121,7.121,7.121
2022-03-03,7.19,7.19,7.1,7.1
2022-03-02,7.155,7.155,7.15,7.15
2022-02-28,7.107,7.107,7.107,7.107
2022-02-25,7.068,7.068,7.068,7.068
2022-02-24,7.081,7.081,7.081,7.081
2022-02-23,7.063,7.063,7.063,7.063
2022-02-22,7.128,7.128,7.088,7.088
2022-02-21,7.071,7.071,7.071,7.071
2022-02-18,7.081,7.091,7.071,7.071
2022-02-17,7.075,7.075,7.075,7.075
2022-02-16,7.092,7.092,7.092,7.092
2022-02-15,7.15,7.15,7.15,7.15
2022-02-14,7.092,7.092,7.092,7.092
2022-02-11,7.157,7.157,7.157,7.157
2022-02-10,7.219,7.219,7.153,7.153
2022-02-09,7.226,7.226,7.226,7.226
2022-02-08,7.265,7.265,7.265,7.265
2022-02-04,7.359,7.359,7.359,7.359
2022-02-03,7.378,7.378,7.378,7.378
2022-02-02,7.37,7.37,7.37,7.37
2022-02-01,7.325,7.325,7.325,7.325
2022-01-31,7.219,7.219,7.219,7.219
2022-01-28,7.274,7.274,7.274,7.274
2022-01-27,7.284,7.284,7.284,7.284
2022-01-25,7.225,7.225,7.225,7.225
2022-01-24,7.228,7.228,7.226,7.226
2022-01-21,7.195,7.195,7.195,7.195
2022-01-20,7.195,7.195,7.195,7.195
2022-01-19,7.208,7.208,7.208,7.208
2022-01-18,7.205,7.205,7.205,7.205
2022-01-17,7.205,7.205,7.205,7.205
2022-01-14,7.15,7.15,7.15,7.15
2022-01-13,7.151,7.151,7.138,7.138
2022-01-12,7.158,7.158,7.158,7.158
2022-01-11,7.139,7.139,7.139,7.139
2022-01-10,7.164,7.164,7.164,7.164
2022-01-07,7.129,7.129,7.129,7.129
2022-01-06,7.068,7.068,7.068,7.068
2022-01-05,7.068,7.068,7.068,7.068
2022-01-04,7.02,7.02,7.02,7.02
2022-01-03,7.004,7.004,7.004,7.004
2021-12-31,6.98,6.98,6.98,6.98
2021-12-30,6.953,6.953,6.953,6.953
2021-12-29,6.977,6.977,6.977,6.977
