Date,Open,High,Low,Close
2022-12-26,7.466,7.466,7.466,7.466
2022-12-23,7.462,7.462,7.462,7.462
2022-12-22,7.439,7.439,7.439,7.439
2022-12-21,7.437,7.437,7.437,7.437
2022-12-20,7.45,7.45,7.45,7.45
2022-12-19,7.474,7.474,7.474,7.474
2022-12-16,7.456,7.456,7.456,7.456
2022-12-15,7.434,7.434,7.434,7.434
2022-12-14,7.399,7.399,7.399,7.399
2022-12-13,7.436,7.436,7.436,7.436
2022-12-12,7.468,7.468,7.468,7.468
2022-12-09,7.478,7.478,7.478,7.478
2022-12-08,7.434,7.434,7.434,7.434
2022-12-07,7.418,7.418,7.418,7.418
2022-12-06,7.402,7.402,7.402,7.402
2022-12-05,7.394,7.394,7.394,7.394
2022-12-02,7.411,7.411,7.411,7.411
2022-12-01,7.372,7.372,7.372,7.372
2022-11-30,7.461,7.461,7.461,7.461
2022-11-29,7.442,7.442,7.442,7.442
2022-11-28,7.441,7.441,7.441,7.441
2022-11-25,7.476,7.476,7.476,7.476
2022-11-24,7.42,7.42,7.42,7.42
2022-11-23,7.467,7.467,7.467,7.467
2022-11-22,7.471,7.471,7.471,7.471
2022-11-21,7.498,7.498,7.498,7.498
2022-11-18,7.487,7.487,7.487,7.487
2022-11-17,7.482,7.482,7.482,7.482
2022-11-16,7.473,7.473,7.473,7.473
2022-11-15,7.479,7.479,7.479,7.479
2022-11-14,7.494,7.494,7.494,7.494
2022-11-11,7.501,7.501,7.501,7.501
2022-11-10,7.516,7.516,7.516,7.516
2022-11-09,7.566,7.566,7.566,7.566
2022-11-07,7.599,7.599,7.599,7.599
2022-11-04,7.633,7.633,7.633,7.633
2022-11-03,7.657,7.657,7.657,7.657
2022-11-02,7.568,7.568,7.568,7.568
2022-11-01,7.562,7.562,7.562,7.562
2022-10-31,7.585,7.585,7.585,7.585
2022-10-28,7.552,7.552,7.552,7.552
2022-10-27,7.553,7.553,7.553,7.553
2022-10-25,7.576,7.576,7.576,7.576
2022-10-21,7.65,7.65,7.65,7.65
2022-10-20,7.621,7.621,7.621,7.621
2022-10-19,7.607,7.607,7.607,7.607
2022-10-18,7.587,7.587,7.587,7.587
2022-10-17,7.585,7.585,7.585,7.585
2022-10-14,7.635,7.635,7.635,7.635
2022-10-13,7.587,7.587,7.587,7.587
2022-10-12,7.57,7.57,7.57,7.57
2022-10-11,7.561,7.561,7.561,7.561
2022-10-10,7.612,7.612,7.612,7.612
2022-10-07,7.587,7.587,7.587,7.587
2022-10-06,7.55,7.55,7.55,7.55
2022-10-04,7.541,7.541,7.541,7.541
2022-10-03,7.608,7.608,7.608,7.608
2022-09-30,7.557,7.557,7.557,7.557
2022-09-29,7.503,7.503,7.503,7.503
2022-09-28,7.519,7.519,7.519,7.519
2022-09-27,7.478,7.478,7.478,7.478
2022-09-26,7.533,7.533,7.533,7.533
2022-09-23,7.555,7.555,7.555,7.555
2022-09-22,7.464,7.464,7.464,7.464
2022-09-21,7.399,7.399,7.399,7.399
2022-09-20,7.432,7.432,7.432,7.432
2022-09-19,7.409,7.409,7.409,7.409
2022-09-16,7.402,7.402,7.402,7.402
2022-09-15,7.379,7.379,7.379,7.379
2022-09-14,7.319,7.319,7.319,7.319
2022-09-13,7.284,7.284,7.284,7.284
2022-09-12,7.338,7.338,7.338,7.338
2022-09-09,7.336,7.336,7.336,7.336
2022-09-08,7.321,7.321,7.321,7.321
2022-09-07,7.366,7.366,7.366,7.366
2022-09-06,7.386,7.386,7.386,7.386
2022-09-05,7.412,7.412,7.412,7.412
2022-09-02,7.426,7.426,7.426,7.426
2022-09-01,7.408,7.408,7.408,7.408
2022-08-30,7.381,7.381,7.381,7.381
2022-08-29,7.43,7.43,7.43,7.43
2022-08-26,7.412,7.412,7.412,7.412
2022-08-25,7.497,7.497,7.497,7.497
2022-08-24,7.454,7.454,7.454,7.454
2022-08-23,7.46,7.46,7.46,7.46
2022-08-22,7.455,7.455,7.455,7.455
2022-08-19,7.45,7.45,7.45,7.45
2022-08-18,7.43,7.43,7.43,7.43
2022-08-17,7.379,7.379,7.379,7.379
2022-08-12,7.487,7.487,7.487,7.487
2022-08-11,7.542,7.542,7.542,7.542
2022-08-10,7.578,7.578,7.578,7.578
2022-08-08,7.606,7.606,7.606,7.606
2022-08-05,7.559,7.559,7.559,7.559
2022-08-04,7.434,7.434,7.434,7.434
2022-08-03,7.512,7.512,7.512,7.512
2022-08-02,7.473,7.473,7.473,7.473
2022-08-01,7.523,7.523,7.523,7.523
2022-07-29,7.6,7.6,7.6,7.6
2022-07-28,7.541,7.541,7.541,7.541
2022-07-27,7.542,7.542,7.542,7.542
2022-07-26,7.57,7.57,7.57,7.57
2022-07-25,7.568,7.568,7.568,7.568
2022-07-22,7.59,7.59,7.59,7.59
2022-07-21,7.605,7.605,7.605,7.605
2022-07-20,7.609,7.609,7.609,7.609
2022-07-19,7.602,7.602,7.602,7.602
2022-07-18,7.607,7.607,7.607,7.607
2022-07-15,7.606,7.606,7.606,7.606
2022-07-14,7.575,7.575,7.575,7.575
2022-07-13,7.528,7.528,7.528,7.528
2022-07-12,7.566,7.566,7.566,7.566
2022-07-11,7.594,7.594,7.594,7.594
2022-07-08,7.575,7.575,7.575,7.575
