Date,Open,High,Low,Close,Volume
2021-05-21,9.999999747378752e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1547207565.0
2021-05-22,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1229821215.0
2021-05-23,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1585032040.0
2021-05-24,7.999999979801942e-06,1.2000000424450263e-05,7.999999979801942e-06,1.1000000085914508e-05,2179651359.0
2021-05-25,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,1415340765.0
2021-05-26,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,994520516.0
2021-05-27,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,679602960.0
2021-05-28,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,690703669.0
2021-05-29,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,502184994.0
2021-05-30,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,440967883.0
2021-05-31,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,910298126.0
2021-06-01,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,795576484.0
2021-06-02,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,1190841704.0
2021-06-03,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,841784028.0
2021-06-04,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,819027578.0
2021-06-05,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,507707187.0
2021-06-06,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,359457882.0
2021-06-07,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,469707680.0
2021-06-08,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,794735555.0
2021-06-09,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,546752922.0
2021-06-10,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,420178357.0
2021-06-11,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,402206125.0
2021-06-12,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,602206703.0
