Symbol,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
USDT-USD,Tether USD
USDC-USD,USD Coin USD
BNB-USD,BNB USD
XRP-USD,XRP USD
BUSD-USD,Binance USD USD
DOGE-USD,Dogecoin USD
ADA-USD,Cardano USD
MATIC-USD,Polygon USD
DAI-USD,Dai USD
WTRX-USD,Wrapped TRON USD
DOT-USD,Polkadot USD
LTC-USD,Litecoin USD
TRX-USD,TRON USD
SHIB-USD,Shiba Inu USD
STETH-USD,Lido Staked ETH USD
SOL-USD,Solana USD
UNI7083-USD,Uniswap USD
HEX-USD,HEX USD
