Ticker,Length,Start Date,End Date,Highest,Lowest,Last Price
AAPL,10598,1980-12-12,2022-12-22,181.88438030728767,0.0382125489413738,132.22999572753906
ABB,5464,2001-04-06,2022-12-22,38.10767182677005,0.5370792564353807,30.1299991607666
ABBV,2513,2013-01-02,2022-12-22,171.07037556758564,22.136697057747583,163.27000427246094
ABNB,513,2020-12-10,2022-12-22,219.94000244140625,82.58000183105469,84.87000274658203
ABT,10786,1980-03-17,2022-12-22,140.24661270217769,0.1965874993700117,108.02999877929688
ACN,5393,2001-07-19,2022-12-22,411.7527168663765,8.269227676477009,264.760009765625
ADBE,9166,1986-08-13,2022-12-22,699.5399780273438,0.1943887025117874,336.5199890136719
ADI,10786,1980-03-17,2022-12-22,187.66446723039772,0.3822462845464867,163.75
ADP,10786,1980-03-17,2022-12-22,274.9200134277344,0.4140664829763543,239.16000366210932
AIG,12606,1973-01-02,2022-12-22,1309.4356672529573,4.435114060757379,62.400001525878906
AMAT,10786,1980-03-17,2022-12-22,165.52520563415513,0.0568475276231765,97.5999984741211
MCD,14216,1966-07-05,2022-12-22,280.0925430017516,0.0682184844169085,265.7699890136719
MCK,7080,1994-11-10,2022-12-22,401.2117075707709,11.757338718492155,381.7900085449219
MCO,7088,1994-10-31,2022-12-22,403.52700340204456,5.485569734488968,279.19000244140625
MDLZ,5418,2001-06-13,2022-12-22,68.80999755859375,9.868854453812672,66.7300033569336
MDT,12523,1973-05-02,2022-12-22,130.34391264690177,0.0729234951849818,77.13999938964844
MET,5717,2000-04-05,2022-12-22,77.36000061035156,6.739928380239223,71.80000305175781
META,2668,2012-05-18,2022-12-22,384.3299865722656,17.549999237060547,117.12000274658205
MMC,12572,1973-02-21,2022-12-22,181.77047807191173,0.7387813742350625,165.6999969482422
MMM,15351,1962-01-02,2022-12-22,219.45396557923027,0.4623107709500945,121.58999633789062
MNST,9337,1985-12-09,2022-12-22,104.6500015258789,0.0123699996620416,100.80999755859376
MO,15351,1962-01-02,2022-12-22,53.62912436547264,0.0017881967343611,45.77999877929688
MPC,2895,2011-06-24,2022-12-22,127.62000274658205,9.330857140937638,111.6500015258789
MRK,15351,1962-01-02,2022-12-22,112.16999816894533,0.0476599263748271,111.23999786376952
CVX,15351,1962-01-02,2022-12-22,188.2239902467545,0.3241466944206342,172.0800018310547
D,10786,1980-03-17,2022-12-22,86.39746819270212,0.4267045359959047,60.4900016784668
DE,12752,1972-06-01,2022-12-22,448.3999938964844,0.622301291898802,435.8599853515625
DEO,8007,1991-03-14,2022-12-22,218.65445065743413,9.158710156798993,179.50999450683594
DG,3300,2009-11-13,2022-12-22,261.5899963378906,19.651453027923715,245.52999877929688
DHR,11092,1978-12-29,2022-12-22,332.56977732473644,0.0463456622899269,258.6700134277344
DIS,15351,1962-01-02,2022-12-22,203.0200042724609,0.0332279171395346,86.66999816894531
DUK,10786,1980-03-17,2022-12-22,113.06253334882544,0.8479778662521971,101.9499969482422
E,6816,1995-11-28,2022-12-22,35.62524505873844,3.0510162331807167,28.40999984741211
EIX,12522,1973-05-03,2022-12-22,71.74143775148347,0.2840700475107722,64.5
SHEL,7088,1994-10-31,2022-12-22,60.551135596921874,7.393521881760154,56.7400016784668
